case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
1,"PC gets IP but cannot reach server in VLAN 30; gateway ping works","VLAN30 SVI up, trunk to core","show ip route: no entry for 10.0.30.0; show access-lists: ACL 101 applied inbound","Missing route to VLAN 30 subnet","Layer 3","routing,acl","medium"
2,"Two PCs on same VLAN report intermittent connectivity and MAC flapping","VLAN10, access switch SW2","show ip interface brief: two hosts both configured 192.168.10.10","Duplicate IP address","Layer 3","ip-addressing","high"
3,"New host cannot get an IP address via DHCP","VLAN20, DHCP server on router","show ip dhcp binding: pool empty; show run | section dhcp: pool exhausted","DHCP pool exhausted","Layer 3","dhcp","medium"
4,"Host can reach gateway but nothing beyond it","VLAN40 access port","show interfaces: Gi0/1 mask 255.255.255.0 on host vs 255.255.255.128 on gateway","Subnet mask mismatch between host and gateway","Layer 3","ip-addressing,gateway","high"
5,"PC in VLAN50 cannot resolve external hostnames but IP connectivity works","VLAN50, DNS server 8.8.8.8 configured","show run | include dns; nslookup fails, ping to 8.8.8.8 succeeds","DNS server unreachable or misconfigured","Layer 7","dns","low"
6,"Trunk link between switches drops VLAN 60 traffic only","SW1-SW2 trunk Gi0/1","show interfaces trunk: VLAN 60 not in allowed list","VLAN not permitted on trunk allowed list","Layer 2","vlan,trunking","medium"
7,"Router will not route between VLAN 70 and VLAN 80","Router-on-a-stick, sub-interfaces Gi0/0.70 Gi0/0.80","show ip interface brief: Gi0/0.80 administratively down","Sub-interface administratively down","Layer 3","routing,interface","high"
8,"Internal hosts cannot reach the internet despite valid default route","Router with NAT overload configured","show ip nat translations: empty; show run | section nat: acl not referenced in nat overload","NAT ACL misconfigured or not applied","Layer 3","nat","high"
9,"Guest Wi-Fi clients can reach internal file server","WLAN guest SSID mapped to VLAN 90","show vlan brief: guest SSID mapped to VLAN 10 instead of 90; no isolation ACL","Guest isolation failure / wrong VLAN mapping","Layer 2/3","wireless,vlan,security","high"
10,"Static route configured but traffic still fails to reach remote subnet","Router R1 to R2 static route","show ip route: route present but next-hop unreachable; show cdp neighbors: R2 interface down","Next-hop interface down","Layer 1/3","routing,interface","medium"
11,"Host cannot ping default gateway","VLAN25 access port Gi0/3","show interfaces Gi0/3: line protocol down","Physical interface / cable issue","Layer 1","physical,interface","high"
12,"ACL blocks legitimate return traffic for a web request","Router ACL 110 outbound","show access-lists 110: missing established/return rule","ACL missing return traffic permit","Layer 3/4","acl","medium"
13,"Wireless clients get IP but cannot reach wired VLAN","AP mapped to native VLAN 1","show vlan brief: AP port not trunked, only access VLAN 1","Wireless AP not trunked to correct VLANs","Layer 2","wireless,trunking","medium"
